"categoria","producto","ficha","imagen","archivo"
"colagenos-bebibles","colageno-sport","https://www.guiavitaminway.com.ar/colagenos-bebibles/colageno-sport","https://www.guiavitaminway.com.ar/templates/yootheme/cache/2d/colageno_sport_360_cuadro-2d98cf30.jpeg","colagenos-bebibles\colageno-sport\02_colageno_sport_360_cuadro-2d98cf30.jpeg"
"colagenos-bebibles","colageno-sport","https://www.guiavitaminway.com.ar/colagenos-bebibles/colageno-sport","https://www.guiavitaminway.com.ar/templates/yootheme/cache/6f/imagen_colageno_sport-6f75a320.jpeg","colagenos-bebibles\colageno-sport\03_imagen_colageno_sport-6f75a320.jpeg"
"colagenos-bebibles","colageno-sport","https://www.guiavitaminway.com.ar/colagenos-bebibles/colageno-sport","https://www.guiavitaminway.com.ar/templates/yootheme/cache/8b/imagen_colageno_sport-8b81a04b.jpeg","colagenos-bebibles\colageno-sport\04_imagen_colageno_sport-8b81a04b.jpeg"
"colagenos-bebibles","colageno-sport","https://www.guiavitaminway.com.ar/colagenos-bebibles/colageno-sport","https://www.guiavitaminway.com.ar/templates/yootheme/cache/b0/colageno_sport-b0b681a2.png","colagenos-bebibles\colageno-sport\05_colageno_sport-b0b681a2.png"
"colagenos-bebibles","colageno-sport","https://www.guiavitaminway.com.ar/colagenos-bebibles/colageno-sport","https://www.guiavitaminway.com.ar/templates/yootheme/cache/dc/colageno_sport-dcee686b.png","colagenos-bebibles\colageno-sport\06_colageno_sport-dcee686b.png"
"colesterol","chia-capsulas","https://www.guiavitaminway.com.ar/colesterol/chia-capsulas","https://www.guiavitaminway.com.ar/templates/yootheme/cache/00/chia_capsula_packs_vitaminway-00d09295.png","colesterol\chia-capsulas\01_chia_capsula_packs_vitaminway-00d09295.png"
"colesterol","chia-capsulas","https://www.guiavitaminway.com.ar/colesterol/chia-capsulas","https://www.guiavitaminway.com.ar/templates/yootheme/cache/31/chia_capsula_packs_vitaminway-31a4f062.png","colesterol\chia-capsulas\02_chia_capsula_packs_vitaminway-31a4f062.png"
"colesterol","chia-capsulas","https://www.guiavitaminway.com.ar/colesterol/chia-capsulas","https://www.guiavitaminway.com.ar/templates/yootheme/cache/37/foto_chia_capsulas-3700cb7d.jpeg","colesterol\chia-capsulas\03_foto_chia_capsulas-3700cb7d.jpeg"
"colesterol","chia-capsulas","https://www.guiavitaminway.com.ar/colesterol/chia-capsulas","https://www.guiavitaminway.com.ar/templates/yootheme/cache/91/foto_chia_capsulas-91de2328.jpeg","colesterol\chia-capsulas\04_foto_chia_capsulas-91de2328.jpeg"
"colesterol","chia-capsulas","https://www.guiavitaminway.com.ar/colesterol/chia-capsulas","https://www.guiavitaminway.com.ar/templates/yootheme/cache/97/Cuadros_Info._Nutricional_Omega_3_chia-97d8d313.jpeg","colesterol\chia-capsulas\05_Cuadros_Info._Nutricional_Omega_3_chia-97d8d313.jpeg"
"colesterol","krill-duo","https://www.guiavitaminway.com.ar/colesterol/krill-duo","https://www.guiavitaminway.com.ar/templates/yootheme/cache/1d/krill_duo_packs_vitaminway-1da07795.png","colesterol\krill-duo\01_krill_duo_packs_vitaminway-1da07795.png"
"colesterol","krill-duo","https://www.guiavitaminway.com.ar/colesterol/krill-duo","https://www.guiavitaminway.com.ar/templates/yootheme/cache/43/krill_duo_packs_vitaminway-434d5426.png","colesterol\krill-duo\02_krill_duo_packs_vitaminway-434d5426.png"
